"","MM","GS","group"
"CKAP4",0.910962788067587,0.561863591636145,TRUE
"TMPRSS4",0.826905820215934,0.675419215379445,TRUE
"NUSAP1",0.800743423701624,0.42715642267507,TRUE
"KIF23",0.840441240941234,0.484214973262959,TRUE
"IFI44",0.831027310910346,0.556111073890821,TRUE
"CLCA2",0.898963616023692,0.557192236075169,TRUE
"KIF11",0.840191389011394,0.418826241750769,TRUE
"CEP55",0.820607320324882,0.517174398362796,TRUE
"FASTKD1",0.800925320834208,0.521481897877345,TRUE
"PARP9",0.895028025026618,0.573637856777908,TRUE
"HERC6",0.82018257927162,0.541978748146851,TRUE
"GLTP",0.856221913267432,0.662303608175506,TRUE
"SLC7A1",0.818646260245396,0.497094804748793,TRUE
"RDH16",0.817576750798214,0.683025781904665,TRUE
"GALNT6",0.85887443405745,0.621760943733732,TRUE
"DIAPH3",0.851393724696159,0.460569267165194,TRUE
"RHCG",0.839583196041954,0.797042017703458,TRUE
"SLC39A6",0.838401395999387,0.473433167155509,TRUE
"KIF2C",0.862510502890871,0.590382516482349,TRUE
"NUF2",0.815206271504071,0.469393377734087,TRUE
"S100A8",0.845526191168013,0.814822137689252,TRUE
"S100A7",0.846829907458966,0.794034582562242,TRUE
"ABCA12",0.813775736293579,0.495625553140942,TRUE
"NFKBIZ",0.835243843655293,0.631926646962064,TRUE
"CCNA2",0.906162526059588,0.612140078122773,TRUE
"TNFRSF21",0.815985152949393,0.505434329951875,TRUE
"TPBG",0.888620012484456,0.596709346148634,TRUE
"CDCA5",0.870518063170718,0.579856315627362,TRUE
"SHROOM2",0.827685331109239,0.504191490445721,TRUE
"MFHAS1",0.859527167270419,0.513870860766523,TRUE
"ATP6V1B2",0.885410056574238,0.447141589368186,TRUE
"GINS4",0.819119009071798,0.448977618482182,TRUE
"FAM83A",0.836670165301177,0.68532222820354,TRUE
"UGCG",0.851706130435841,0.567026187718593,TRUE
"LCN2",0.812807214267353,0.771743090339644,TRUE
"CHEK1",0.826324705527648,0.400890993260571,TRUE
"MPZL2",0.901555118728629,0.671703860420083,TRUE
"SLC7A11",0.838125502818848,0.559249174867617,TRUE
"ADAM17",0.819913599169597,0.312848532471113,TRUE
"TMEM45B",0.872014299340893,0.75413091092516,TRUE
"SPC25",0.837009626595743,0.594505094115077,TRUE
