"","external_gene_name","entrezgene_id"
"1","MT-ND4L",4539
"2","MT-ND6",4541
"3","TGM1",7051
"4","SLC25A6",293
"5","CXADR",1525
"6","RPL7A",6130
"7","KLF5",688
"8","IMPA2",3613
"9","SLC7A1",6541
"10","CSTB",1476
"11","LGALS7",3963
"12","LGALS7",653499
"13","SQSTM1",8878
"14","RPL3",6122
"15","DEFB1",1672
"16","DEFB4A",1673
"17","DEFB4A",100289462
"18","DEFB4A",124906748
"19","GJB2",2706
"20","GJB6",10804
"21","MRPL23",6150
"22","INTS6",26512
"23","PMAIP1",5366
"24","FOS",2353
"25","POLR1D",51082
"26","SOD1",6647
"27","RPS15A",6210
"28","POF1B",79983
"29","SLPI",6590
"30","FABP5",2171
"31","ANXA1",301
"32","A2ML1",144568
"33","CD24",100133941
"34","ELOVL4",6785
"35","RPS9",6203
"36","NFIC",4782
"37","SERPINB13",5275
"38","SERPINB4",6318
"39","SERPINB3",6317
"40","SLC38A2",54407
"41","LCN2",3934
"42","LRRC75A",388341
"43","DSC2",1824
"44","CEBPB",1051
"45","BTG1",694
"46","RAB11A",8766
"47","SLURP2",432355
"48","SLURP1",57152
"49","CYCS",54205
"50","HSPA1A",3303
"51","CLIC3",9022
"52","LY6G6C",80740
"53","HSPA1B",3304
"54","MT2A",4502
"55","MT1E",4493
"56","MT1X",4501
"57","HLA-B",3106
"58","RPL10",6134
"59","CARD18",59082
"60","EEF1D",1936
"61","CD36",948
"62","CALML5",51806
"63","CALML3",810
"64","SERPINB1",1992
"65","PYDC1",260434
"66","KRTDAP",388533
"67","STAG1",10274
"68","BCL11A",53335
"69","CTSL",1514
"70","ALDH3A2",224
"71","NCCRP1",342897
"72","ALDH3A1",218
"73","SOX15",6665
"74","LGALS3",3958
"75","FGFBP1",9982
"76","NOP53",29997
"77","PI3",5266
"78","ATP1B3",483
"79","RPLP1",6176
"80","ATP6V0C",527
"81","IL18",3606
"82","FTL",2512
"83","EEF1A1",1915
"84","ALOX12B",242
"85","GPNMB",10457
"86","RPL13",6137
"87","SDR16C5",195814
"88","HES1",3280
"89","CST6",1474
"90","JUND",3727
"91","CRIP1",1396
"92","EXT1",2131
"93","C12orf75",387882
"94","SULT2B1",6820
"95","TUBB2A",7280
"96","MGST3",4259
"97","RPL10A",4736
"98","GLTP",51228
"99","TMEM45A",55076
"100","CAV1",857
"101","SYNE2",23224
"102","GADD45B",4616
"103","CNFN",84518
"104","C12orf57",113246
"105","DNAJB1",3337
"106","RPS6",6194
"107","NUPR1",26471
"108","RPS14",6208
"109","RPL13A",23521
"110","SNHG5",NA
"111","PARD3",56288
"112","EMP1",2012
"113","CARHSP1",23589
"114","NAMPT",10135
"115","RPS4X",6191
"116","COL17A1",1308
"117","DAPL1",92196
"118","PDLIM1",9124
"119","MED13L",23389
"120","EXOC6B",23233
"121","CLDN4",1364
"122","GATA3",2625
"123","BTF3",689
"124","RPL29",6159
"125","CD9",928
"126","PDZK1IP1",10158
"127","XIST",7503
"128","SQLE",6713
"129","APOE",348
"130","CYSRT1",375791
"131","TP63",8626
"132","RHCG",51458
"133","SIK3",23387
"134","FXYD3",5349
"135","CDH13",1012
"136","STMN1",3925
"137","RPS8",6202
"138","SPINK5",11005
"139","KLK10",5655
"140","KLK13",26085
"141","FBXW7",55294
"142","HIGD1A",25994
"143","PHGDH",26227
"144","NFIB",4781
"145","CXCL14",9547
"146","RPS27",6232
"147","LARP1B",55132
"148","CIRBP",1153
"149","HSPA6",3310
"150","AOPEP",84909
"151","LAMTOR4",389541
"152","KRT15",3866
"153","KRT14",3861
"154","KRT16",3868
"155","DST",667
"156","UBB",7314
"157","KRT17",3872
"158","EGFR",1956
"159","LYPD3",27076
"160","KLK7",5650
"161","CHI3L2",1117
"162","KLK8",11202
"163","KRT78",196374
"164","ZFAND3",60685
"165","SPPL3",121665
"166","TRA2B",6434
"167","RND3",390
"168","WWOX",51741
"169","TUBA1C",84790
"170","RPS19",6223
"171","SYPL1",6856
"172","HOPX",84525
"173","TUBA4A",7277
"174","ARID1B",57492
"175","RPLP0",6175
"176","CLEC2B",9976
"177","ELOVL1",64834
"178","CRABP2",1382
"179","LIMA1",51474
"180","ID2",3398
"181","RPL5",6125
"182","CSTA",1475
"183","RPS5",6193
"184","TM7SF2",7108
"185","KRT6B",3854
"186","KRT6C",286887
"187","KRT6A",3853
"188","KRT5",3852
"189","SPTSSB",165679
"190","SBSN",374897
"191","GPX4",2879
"192","CD81",975
"193","SLC3A2",6520
"194","RPSA",3921
"195","IVL",3713
"196","SPRR1B",6699
"197","SPRR2D",6703
"198","SPRR2A",6700
"199","SPRR2E",6704
"200","LGALSL",29094
"201","IL36G",56300
"202","IL36RN",26525
"203","TCN1",6947
"204","FTH1",2495
"205","ATP1B1",481
"206","SLC2A1",6513
"207","S100A9",6280
"208","S100A12",6283
"209","S100A8",6279
"210","S100A7A",338324
"211","S100A7",6278
"212","POU3F1",5453
"213","SUCO",51430
"214","ATF3",467
