"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATP5F1B3",0,2.17237975134265,0.564,0.103,0,"19","ATP5F1B"
"ATP5MC34",0,2.15265934046717,0.533,0.104,0,"19","ATP5MC3"
"HSPA1B2",0,2.13030544943701,0.553,0.116,0,"19","HSPA1B"
"ATP5F1D4",0,2.08280502854534,0.583,0.115,0,"19","ATP5F1D"
"CD92",0,2.02585825225021,0.51,0.12,0,"19","CD9"
"ATP5PF4",0,2.01459723559083,0.546,0.114,0,"19","ATP5PF"
"ATP5MF4",0,2.00412584632219,0.567,0.114,0,"19","ATP5MF"
"ATP5MG4",0,1.98733418025834,0.655,0.149,0,"19","ATP5MG"
"ATP5MPL4",0,1.98122628161019,0.571,0.122,0,"19","ATP5MPL"
"RPL173",0,1.96452330236161,0.888,0.618,0,"19","RPL17"
"ATP5F1A3",0,1.92423956229693,0.521,0.09,0,"19","ATP5F1A"
"ATP5PD3",0,1.90860093069839,0.505,0.095,0,"19","ATP5PD"
"ATP5IF13",0,1.78622437201411,0.501,0.106,0,"19","ATP5IF1"
"TXN5",0,1.74922900738043,0.81,0.48,0,"19","TXN"
"LMNA3",0,1.64146086692266,0.609,0.19,0,"19","LMNA"
"SEM14",0,1.6234890793589,0.507,0.122,0,"19","SEM1"
"NOP534",0,1.579699553335,0.51,0.128,0,"19","NOP53"
"SBSN",0,1.32136804540267,0.524,0.103,0,"19","SBSN"
"LGALS34",2.75655780688013e-282,1.98243662321128,0.748,0.396,7.77046080181439e-278,"19","LGALS3"
"PPIA1",2.68351421260766e-278,1.41829364011225,0.898,0.835,7.56455821391974e-274,"19","PPIA"
"S100A113",4.46269115216983e-274,1.7084836567738,0.898,0.683,1.25798800888515e-269,"19","S100A11"
"PRDX15",7.23234178484161e-261,1.83516179103177,0.736,0.454,2.038724825729e-256,"19","PRDX1"
"DYNLL15",1.05513327828757e-260,1.95787398167048,0.77,0.512,2.97431519816482e-256,"19","DYNLL1"
"LDHA4",6.28319022608652e-253,2.18646461373069,0.772,0.544,1.77116849283153e-248,"19","LDHA"
"ATP5F1E4",6.88093144252835e-250,1.0135256849506,0.551,0.16,1.93966576433432e-245,"19","ATP5F1E"
"DBI2",5.26922681855495e-238,2.1699242180973,0.764,0.562,1.48534234788245e-233,"19","DBI"
"YBX33",1.26738547809882e-226,1.63293958029738,0.694,0.375,3.57263292421276e-222,"19","YBX3"
"RPLP01",2.89450347508976e-222,1.19869453481422,0.927,0.93,8.15931584593052e-218,"19","RPLP0"
"GAPDH3",4.24562056495401e-200,2.10888363180065,0.89,0.84,1.19679798105489e-195,"19","GAPDH"
"ACTG14",9.26990759113292e-189,1.37296229021436,0.923,0.9,2.61309425086446e-184,"19","ACTG1"
"DSTN2",4.65064017394683e-181,1.36462483905878,0.694,0.44,1.31096895863387e-176,"19","DSTN"
"ANXA26",1.261994138424e-175,1.42226453535346,0.744,0.521,3.55743527680342e-171,"19","ANXA2"
"RPL37A",2.74999857076922e-171,0.847963536819094,0.974,0.98,7.75197097114136e-167,"19","RPL37A"
"GSTP14",1.86789213498511e-164,1.53788457136419,0.789,0.64,5.26540113930952e-160,"19","GSTP1"
"SLC25A52",3.74674626385891e-162,1.6129690750887,0.701,0.539,1.05617030431919e-157,"19","SLC25A5"
"RPL8",3.84724690570272e-151,0.781936556583371,0.972,0.974,1.08450043024854e-146,"19","RPL8"
