"","ensembl_gene_id","external_gene_name","refseq_mrna"
"132","ENSG00000166147","FBN1","NM_000138"
"133","ENSG00000149534","MS4A2","NM_000139"
"134","ENSG00000066926","FECH","NM_000140"
"135","ENSG00000066468","FGFR2","NM_000141"
"136","ENSG00000068078","FGFR3","NM_000142"
"137","ENSG00000091483","FH","NM_000143"
"138","ENSG00000165060","FXN","NM_000144"
"139","ENSG00000170820","FSHR","NM_000145"
"140","ENSG00000087086","FTL","NM_000146"
"141","ENSG00000179163","FUCA1","NM_000147"
"142","ENSG00000174951","FUT1","NM_000148"
"143","ENSG00000292063","FUT3","NM_000149"
"144","ENSG00000171124","FUT3","NM_000149"
"145","ENSG00000156413","FUT6","NM_000150"
"146","ENSG00000131482","G6PC1","NM_000151"
"147","ENSG00000291507","GAA","NM_000152"
"148","ENSG00000171298","GAA","NM_000152"
"149","ENSG00000054983","GALC","NM_000153"
"150","ENSG00000108479","GALK1","NM_000154"
"151","ENSG00000213930","GALT","NM_000155"
"152","ENSG00000130005","GAMT","NM_000156"
"153","ENSG00000262446","GBA1","NM_000157"
"154","ENSG00000177628","GBA1","NM_000157"
"155","ENSG00000114480","GBE1","NM_000158"
"156","ENSG00000105607","GCDH","NM_000159"
"157","ENSG00000288269","GCGR","NM_000160"
"158","ENSG00000215644","GCGR","NM_000160"
"159","ENSG00000131979","GCH1","NM_000161"
"160","ENSG00000106633","GCK","NM_000162"
"161","ENSG00000112964","GHR","NM_000163"
"162","ENSG00000010310","GIPR","NM_000164"
"163","ENSG00000152661","GJA1","NM_000165"
"164","ENSG00000169562","GJB1","NM_000166"
"165","ENSG00000198814","GK","NM_000167"
"166","ENSG00000106571","GLI3","NM_000168"
"167","ENSG00000102393","GLA","NM_000169"
"168","ENSG00000178445","GLDC","NM_000170"
"169","ENSG00000145888","GLRA1","NM_000171"
"170","ENSG00000114349","GNAT1","NM_000172"
"171","ENSG00000185245","GP1BA","NM_000173"
"172","ENSG00000169704","GP9","NM_000174"
"173","ENSG00000282019","GPI","NM_000175"
"174","ENSG00000105220","GPI","NM_000175"
"175","ENSG00000113580","NR3C1","NM_000176"
"176","ENSG00000148180","GSN","NM_000177"
"177","ENSG00000100983","GSS","NM_000178"
"178","ENSG00000116062","MSH6","NM_000179"
"179","ENSG00000132518","GUCY2D","NM_000180"
"180","ENSG00000169919","GUSB","NM_000181"
"181","ENSG00000084754","HADHA","NM_000182"
"182","ENSG00000138029","HADHB","NM_000183"
"183","ENSG00000196565","HBG2","NM_000184"
"184","ENSG00000099937","SERPIND1","NM_000185"
"185","ENSG00000000971","CFH","NM_000186"
"186","ENSG00000113924","HGD","NM_000187"
"187","ENSG00000156515","HK1","NM_000188"
"188","ENSG00000159399","HK2","NM_000189"
"189","ENSG00000256269","HMBS","NM_000190"
"190","ENSG00000117305","HMGCL","NM_000191"
"191","ENSG00000089225","TBX5","NM_000192"
"192","ENSG00000164690","SHH","NM_000193"
"193","ENSG00000165704","HPRT1","NM_000194"
"194","ENSG00000107521","HPS1","NM_000195"
"195","ENSG00000176387","HSD11B2","NM_000196"
"196","ENSG00000130948","HSD17B3","NM_000197"
"197","ENSG00000203859","HSD3B2","NM_000198"
"198","ENSG00000181523","SGSH","NM_000199"
"199","ENSG00000282967","HTN3","NM_000200"
"200","ENSG00000205649","HTN3","NM_000200"
"201","ENSG00000090339","ICAM1","NM_000201"
"202","ENSG00000010404","IDS","NM_000202"
"203","ENSG00000127415","IDUA","NM_000203"
"204","ENSG00000205403","CFI","NM_000204"
"205","ENSG00000147168","IL2RG","NM_000206"
"206","ENSG00000254647","INS","NM_000207"
"207","ENSG00000171105","INSR","NM_000208"
"208","ENSG00000139515","PDX1","NM_000209"
"209","ENSG00000091409","ITGA6","NM_000210"
"210","ENSG00000160255","ITGB2","NM_000211"
"211","ENSG00000259207","ITGB3","NM_000212"
"212","ENSG00000132470","ITGB4","NM_000213"
"213","ENSG00000101384","JAG1","NM_000214"
"214","ENSG00000105639","JAK3","NM_000215"
"215","ENSG00000011201","ANOS1","NM_000216"
"216","ENSG00000111262","KCNA1","NM_000217"
"217","ENSG00000282076","KCNQ1","NM_000218"
"218","ENSG00000053918","KCNQ1","NM_000218"
"219","ENSG00000180509","KCNE1","NM_000219"
"220","ENSG00000151704","KCNJ1","NM_000220"
"221","ENSG00000138030","KHK","NM_000221"
"222","ENSG00000157404","KIT","NM_000222"
"223","ENSG00000263243","KRT12","NM_000223"
"224","ENSG00000187242","KRT12","NM_000223"
"225","ENSG00000111057","KRT18","NM_000224"
"226","ENSG00000171403","KRT9","NM_000226"
"227","ENSG00000053747","LAMA3","NM_000227"
"228","ENSG00000196878","LAMB3","NM_000228"
"229","ENSG00000213398","LCAT","NM_000229"
"230","ENSG00000174697","LEP","NM_000230"
"231","ENSG00000102683","SGCG","NM_000231"
"232","ENSG00000163069","SGCB","NM_000232"
"233","ENSG00000138039","LHCGR","NM_000233"
"234","ENSG00000105486","LIG1","NM_000234"
"235","ENSG00000107798","LIPA","NM_000235"
"236","ENSG00000166035","LIPC","NM_000236"
"237","ENSG00000175445","LPL","NM_000237"
"238","ENSG00000055118","KCNH2","NM_000238"
"239","ENSG00000090382","LYZ","NM_000239"
"240","ENSG00000189221","MAOA","NM_000240"
"241","ENSG00000165471","MBL2","NM_000242"
"242","ENSG00000103313","MEFV","NM_000243"
"243","ENSG00000133895","MEN1","NM_000244"
"244","ENSG00000105976","MET","NM_000245"
"245","ENSG00000179583","CIITA","NM_000246"
"246","ENSG00000183214","MICA","NM_000247"
"247","ENSG00000187098","MITF","NM_000248"
"248","ENSG00000076242","MLH1","NM_000249"
"249","ENSG00000005381","MPO","NM_000250"
"250","ENSG00000095002","MSH2","NM_000251"
"251","ENSG00000171100","MTM1","NM_000252"
"252","ENSG00000138823","MTTP","NM_000253"
"253","ENSG00000116984","MTR","NM_000254"
"254","ENSG00000146085","MMUT","NM_000255"
"255","ENSG00000134571","MYBPC3","NM_000256"
"256","ENSG00000092054","MYH7","NM_000257"
"257","ENSG00000160808","MYL3","NM_000258"
"258","ENSG00000197535","MYO5A","NM_000259"
"259","ENSG00000137474","MYO7A","NM_000260"
"260","ENSG00000034971","MYOC","NM_000261"
"261","ENSG00000198951","NAGA","NM_000262"
"262","ENSG00000108784","NAGLU","NM_000263"
"263","ENSG00000185920","PTCH1","NM_000264"
"264","ENSG00000158517","NCF1","NM_000265"
"265","ENSG00000124479","NDP","NM_000266"
"266","ENSG00000196712","NF1","NM_000267"
"267","ENSG00000186575","NF2","NM_000268"
"268","ENSG00000239672","NME1","NM_000269"
"269","ENSG00000291814","PNP","NM_000270"
"270","ENSG00000198805","PNP","NM_000270"
"271","ENSG00000141458","NPC1","NM_000271"
"272","ENSG00000144061","NPHP1","NM_000272"
"273","ENSG00000101850","GPR143","NM_000273"
"274","ENSG00000065154","OAT","NM_000274"
"275","ENSG00000104044","OCA2","NM_000275"
"276","ENSG00000277361","OCA2","NM_000275"
"277","ENSG00000122126","OCRL","NM_000276"
"278","ENSG00000171759","PAH","NM_000277"
"279","ENSG00000075891","PAX2","NM_000278"
"280","ENSG00000007372","PAX6","NM_000280"
"281","ENSG00000166228","PCBD1","NM_000281"
"282","ENSG00000175198","PCCA","NM_000282"
"283","ENSG00000133256","PDE6B","NM_000283"
"284","ENSG00000131828","PDHA1","NM_000284"
"285","ENSG00000124299","PEPD","NM_000285"
"286","ENSG00000108733","PEX12","NM_000286"
"287","ENSG00000124587","PEX6","NM_000287"
"288","ENSG00000112357","PEX7","NM_000288"
"289","ENSG00000152556","PFKM","NM_000289"
"290","ENSG00000164708","PGAM2","NM_000290"
"291","ENSG00000102144","PGK1","NM_000291"
"292","ENSG00000044446","PHKA2","NM_000292"
"293","ENSG00000102893","PHKB","NM_000293"
"294","ENSG00000156873","PHKG2","NM_000294"
"295","ENSG00000277377","SERPINA1","NM_000295"
"296","ENSG00000197249","SERPINA1","NM_000295"
"297","ENSG00000008710","PKD1","NM_000296"
"298","ENSG00000118762","PKD2","NM_000297"
"299","ENSG00000262785","PKLR","NM_000298"
"300","ENSG00000143627","PKLR","NM_000298"
"301","ENSG00000081277","PKP1","NM_000299"
"302","ENSG00000188257","PLA2G2A","NM_000300"
"303","ENSG00000122194","PLG","NM_000301"
"304","ENSG00000083444","PLOD1","NM_000302"
"305","ENSG00000140650","PMM2","NM_000303"
"306","ENSG00000109099","PMP22","NM_000304"
"307","ENSG00000105854","PON2","NM_000305"
"308","ENSG00000064835","POU1F1","NM_000306"
"309","ENSG00000196767","POU3F4","NM_000307"
"310","ENSG00000064601","CTSA","NM_000308"
"311","ENSG00000143224","PPOX","NM_000309"
"312","ENSG00000131238","PPT1","NM_000310"
"313","ENSG00000171867","PRNP","NM_000311"
"314","ENSG00000115718","PROC","NM_000312"
"315","ENSG00000184500","PROS1","NM_000313"
"316","ENSG00000284792","PTEN","NM_000314"
"317","ENSG00000171862","PTEN","NM_000314"
"318","ENSG00000152266","PTH","NM_000315"
"319","ENSG00000160801","PTH1R","NM_000316"
"320","ENSG00000150787","PTS","NM_000317"
"321","ENSG00000164751","PEX2","NM_000318"
"322","ENSG00000288217","PEX5","NM_000319"
"323","ENSG00000139197","PEX5","NM_000319"
"324","ENSG00000151552","QDPR","NM_000320"
"325","ENSG00000139687","RB1","NM_000321"
"326","ENSG00000112619","PRPH2","NM_000322"
"327","ENSG00000112077","RHAG","NM_000324"
"328","ENSG00000164093","PITX2","NM_000325"
"329","ENSG00000140522","RLBP1","NM_000326"
"330","ENSG00000149489","ROM1","NM_000327"
"331","ENSG00000156313","RPGR","NM_000328"
"332","ENSG00000116745","RPE65","NM_000329"
"333","ENSG00000102104","RS1","NM_000330"
"334","ENSG00000288411","SAA1","NM_000331"
"335","ENSG00000173432","SAA1","NM_000331"
"336","ENSG00000124788","ATXN1","NM_000332"
"337","ENSG00000163635","ATXN7","NM_000333"
"338","ENSG00000007314","SCN4A","NM_000334"
"339","ENSG00000183873","SCN5A","NM_000335"
"340","ENSG00000168447","SCNN1B","NM_000336"
"341","ENSG00000170624","SGCD","NM_000337"
"342","ENSG00000074803","SLC12A1","NM_000338"
"343","ENSG00000070915","SLC12A3","NM_000339"
"344","ENSG00000163581","SLC2A2","NM_000340"
"345","ENSG00000138079","SLC3A1","NM_000341"
"346","ENSG00000004939","SLC4A1","NM_000342"
"347","ENSG00000100170","SLC5A1","NM_000343"
"348","ENSG00000275349","SMN1","NM_000344"
"349","ENSG00000277773","SMN2","NM_000344"
"350","ENSG00000172062","SMN1","NM_000344"
"351","ENSG00000145335","SNCA","NM_000345"
"352","ENSG00000125398","SOX9","NM_000346"
"353","ENSG00000277893","SRD5A2","NM_000348"
"354","ENSG00000147465","STAR","NM_000349"
"355","ENSG00000198691","ABCA4","NM_000350"
"356","ENSG00000101846","STS","NM_000351"
"357","ENSG00000006071","ABCC8","NM_000352"
"358","ENSG00000198650","TAT","NM_000353"
"359","ENSG00000123561","SERPINA7","NM_000354"
"360","ENSG00000185339","TCN2","NM_000355"
"361","ENSG00000070814","TCOF1","NM_000356"
"362","ENSG00000120708","TGFBI","NM_000358"
"363","ENSG00000285348","TGM1","NM_000359"
"364","ENSG00000092295","TGM1","NM_000359"
"365","ENSG00000180176","TH","NM_000360"
"366","ENSG00000178726","THBD","NM_000361"
"367","ENSG00000100234","TIMP3","NM_000362"
"368","ENSG00000129991","TNNI3","NM_000363"
"369","ENSG00000118194","TNNT2","NM_000364"
"370","ENSG00000111669","TPI1","NM_000365"
"371","ENSG00000140416","TPM1","NM_000366"
"372","ENSG00000137364","TPMT","NM_000367"
"373","ENSG00000165699","TSC1","NM_000368"
"374","ENSG00000165409","TSHR","NM_000369"
"375","ENSG00000137561","TTPA","NM_000370"
"376","ENSG00000118271","TTR","NM_000371"
"377","ENSG00000077498","TYR","NM_000372"
"378","ENSG00000114491","UMPS","NM_000373"
"379","ENSG00000126088","UROD","NM_000374"
"380","ENSG00000188690","UROS","NM_000375"
"381","ENSG00000111424","VDR","NM_000376"
"382","ENSG00000015285","WAS","NM_000377"
"383","ENSG00000184937","WT1","NM_000378"
"384","ENSG00000158125","XDH","NM_000379"
"385","ENSG00000136936","XPA","NM_000380"
"386","ENSG00000101871","MID1","NM_000381"
"387","ENSG00000072210","ALDH3A2","NM_000382"
"388","ENSG00000160224","AIRE","NM_000383"
"389","ENSG00000291544","APOB","NM_000384"
"390","ENSG00000084674","APOB","NM_000384"
"391","ENSG00000108578","BLMH","NM_000386"
"392","ENSG00000178537","SLC25A20","NM_000387"
"393","ENSG00000036828","CASR","NM_000388"
"394","ENSG00000124762","CDKN1A","NM_000389"
"395","ENSG00000188419","CHM","NM_000390"
"396","ENSG00000166340","TPP1","NM_000391"
"397","ENSG00000023839","ABCC2","NM_000392"
"398","ENSG00000204262","COL5A2","NM_000393"
"399","ENSG00000160202","CRYAA","NM_000394"
"400","ENSG00000100368","CSF2RB","NM_000395"
"401","ENSG00000143387","CTSK","NM_000396"
"402","ENSG00000165168","CYBB","NM_000397"
"403","ENSG00000100243","CYB5R3","NM_000398"
"404","ENSG00000122877","EGR2","NM_000399"
"405","ENSG00000104884","ERCC2","NM_000400"
"406","ENSG00000151348","EXT2","NM_000401"
"407","ENSG00000160211","G6PD","NM_000402"
"408","ENSG00000117308","GALE","NM_000403"
"409","ENSG00000170266","GLB1","NM_000404"
"410","ENSG00000196743","GM2A","NM_000405"
"411","ENSG00000109163","GNRHR","NM_000406"
"412","ENSG00000203618","GP1BB","NM_000407"
"413","ENSG00000115159","GPD2","NM_000408"
"414","ENSG00000290147","","NM_000409"
"415","ENSG00000010704","HFE","NM_000410"
"416","ENSG00000159267","HLCS","NM_000411"
"417","ENSG00000113905","HRG","NM_000412"
"418","ENSG00000108786","HSD17B1","NM_000413"
"419","ENSG00000133835","HSD17B4","NM_000414"
"420","ENSG00000121351","IAPP","NM_000415"
"421","ENSG00000027697","IFNGR1","NM_000416"
"422","ENSG00000134460","IL2RA","NM_000417"
"423","ENSG00000077238","IL4R","NM_000418"
"424","ENSG00000005961","ITGA2B","NM_000419"
"425","ENSG00000276615","KEL","NM_000420"
"426","ENSG00000197993","KEL","NM_000420"
"427","ENSG00000186395","KRT10","NM_000421"
"428","ENSG00000128422","KRT17","NM_000422"
"429","ENSG00000172867","KRT2","NM_000423"
"430","ENSG00000186081","KRT5","NM_000424"
"431","ENSG00000198910","L1CAM","NM_000425"
"432","ENSG00000196569","LAMA2","NM_000426"
"433","ENSG00000203782","LORICRIN","NM_000427"
"434","ENSG00000119681","LTBP2","NM_000428"
"435","ENSG00000151224","MAT1A","NM_000429"
"436","ENSG00000007168","PAFAH1B1","NM_000430"
"437","ENSG00000110921","MVK","NM_000431"
"438","ENSG00000111245","MYL2","NM_000432"
"439","ENSG00000116701","NCF2","NM_000433"
"440","ENSG00000227315","NEU1","NM_000434"
"441","ENSG00000234343","NEU1","NM_000434"
"442","ENSG00000223957","NEU1","NM_000434"
"443","ENSG00000228691","NEU1","NM_000434"
"444","ENSG00000184494","NEU1","NM_000434"
"445","ENSG00000227129","NEU1","NM_000434"
"446","ENSG00000234846","NEU1","NM_000434"
"447","ENSG00000204386","NEU1","NM_000434"
"448","ENSG00000074181","NOTCH3","NM_000435"
"449","ENSG00000083720","OXCT1","NM_000436"
"450","ENSG00000158006","PAFAH2","NM_000437"
"451","ENSG00000135903","PAX3","NM_000438"
"452","ENSG00000175426","PCSK1","NM_000439"
"453","ENSG00000132915","PDE6A","NM_000440"
"454","ENSG00000091137","SLC26A4","NM_000441"
"455","ENSG00000261371","PECAM1","NM_000442"
"456","ENSG00000005471","ABCB4","NM_000443"
"457","ENSG00000102174","PHEX","NM_000444"
"458","ENSG00000178209","PLEC","NM_000445"
"459","ENSG00000005421","PON1","NM_000446"
"460","ENSG00000143801","PSEN2","NM_000447"
