"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SERPINB13",0,1.43638290974792,1,1,0
"RPS4X",1.43940001928906e-42,-0.315206764235684,0.977,1,4.05752471437393e-38
"RPS3",1.26551336973738e-36,-0.255190218908216,0.973,1,3.56735563795269e-32
"HMGB2",2.37229509209478e-34,-0.290853337753609,0.417,0.649,6.68726263510598e-30
"STMN1",3.80061313349387e-34,-0.324838424583888,0.273,0.487,1.07135483620059e-29
"TUBB",1.1798668238225e-33,-0.348599998373152,0.591,0.815,3.32592658967325e-29
"PTTG1",1.40809507654911e-33,-0.305012179922818,0.352,0.579,3.9692792112843e-29
"APOE",5.62435294031687e-31,-0.267706807554857,0.51,0.744,1.58544885034592e-26
"HIST1H4C",5.50730588482827e-30,-0.502351381802775,0.411,0.611,1.55245445587424e-25
"SERPINB3",2.32820348961487e-26,0.742161251995317,0.858,0.884,6.56297281687536e-22
"TUBA1B",3.97502760161543e-26,-0.388663863813587,0.606,0.799,1.12052053061937e-21
"LGALS7",4.28435315369078e-26,-0.345707310899265,0.755,0.944,1.20771631049389e-21
"UBB",1.7687918605844e-22,-0.256441956024024,0.857,0.987,4.98604737580136e-18
"WWOX",5.97212488811437e-22,-0.358043363347787,0.233,0.401,1.68348228471056e-17
"HSPA6",6.59525883338693e-20,-0.258342145279733,0.158,0.293,1.85913751254344e-15
"MT1X",1.65654106440373e-19,-0.276887272418183,0.624,0.809,4.66962360644766e-15
"SERPINB4",6.53784349827513e-19,0.650807650373774,0.891,0.918,1.84295270372878e-14
"LGALS3",1.36303967740073e-18,-0.292533491877919,0.837,0.973,3.84227254662491e-14
"HSPA1A",2.93491490696179e-18,-0.350698603210778,0.814,0.958,8.27323163123458e-14
"LARP1B",4.57644210008612e-16,-0.288940009951933,0.364,0.535,1.29005326359328e-11
"S100A7",5.21033083083969e-16,0.514596615391681,0.979,0.995,1.4687401579054e-11
"HSPA1B",6.18185620208166e-15,-0.263755775616338,0.738,0.917,1.7426034448048e-10
"SYPL1",3.00434835490851e-12,-0.277569270723612,0.653,0.85,8.46895757765161e-08
"KRT31",1.14099809044041e-11,0.306018808184679,0.061,0.13,3.21635951714246e-07
"GJB2",5.22157670778628e-11,0.407580059897629,0.853,0.929,1.47191025815788e-06
"MALAT1",1.80080509568302e-10,0.521112266581336,0.832,0.806,5.07628948422087e-06
"S100A8",2.44562848173924e-10,0.258563979212662,0.997,0.999,6.89398212717474e-06
"SPRR2A",4.38457434212559e-08,0.858413000311546,0.682,0.733,0.00123596766130178
"SPRR2B",1.58119277332578e-07,0.592952623376552,0.167,0.111,0.00445722430872804
"DSG1",2.46289209756125e-06,0.338771045387667,0.861,0.934,0.0694264653381542
"HOPX",2.66575173380402e-06,0.473542340441179,0.739,0.928,0.0751448756242016
"DCD",2.76000490446562e-06,-0.37247191174505,0.079,0.13,0.0778017782519812
"H2AZ1",5.27629681268526e-06,-0.316603622282776,0.133,0.188,0.148733530852785
"DSP",7.93025927477866e-06,0.286417228722534,0.964,0.997,0.223546078696736
"PI3",9.58256805156637e-06,1.13181872053587,0.527,0.549,0.270123010805604
"KRT6A",1.92071010185287e-05,0.301294426323541,0.912,0.933,0.541428970611304
"IL36G",5.22344071109709e-05,0.531813963014524,0.38,0.363,1
"NEAT1",0.000177709384402222,0.280398609980852,0.819,0.805,1
"SPRR2E",0.000178943591925575,1.11383848351303,0.514,0.538,1
"DEFB4A",0.000233778718159147,1.14150967738579,0.328,0.301,1
"IL36RN",0.00024217500172483,0.312858585786881,0.202,0.167,1
"GJA1",0.000291177079878012,0.365394957686783,0.816,0.924,1
"SPINK5",0.000323107843586858,0.570873508861145,0.818,0.914,1
"TMEM45A",0.000648195123911434,0.333382133552704,0.853,0.96,1
"H3-3B",0.000840554708970353,-0.322052366856504,0.154,0.194,1
"SPRR2F",0.000855537189887302,0.510878861394086,0.106,0.077,1
"LRRC75A",0.00150858906867319,0.534530778520372,0.51,0.55,1
"SPRR1B",0.0018049076104443,0.492464580620251,0.588,0.616,1
"ATP1B1",0.00224836633265427,0.304254431119213,0.383,0.508,1
"LGALSL",0.00255643902661111,0.252843922915342,0.457,0.598,1
"ALOX12B",0.00340762512946018,0.332237993365635,0.249,0.225,1
"KRT6B",0.00346621010884241,0.447993570450508,0.724,0.807,1
"KRT16",0.00476161442226035,0.384804443925281,0.865,0.932,1
"CSTA",0.00595785058090293,0.587886907520872,0.85,0.961,1
"EREG",0.00725570538989214,0.355911015817857,0.151,0.124,1
"TGM1",0.0144732348088554,0.366723473536781,0.297,0.288,1
"CNFN",0.0149087029160854,0.909501561760861,0.42,0.44,1
"SBSN",0.0160330920923604,0.261120227001113,0.83,0.891,1
"DSC2",0.0270261999387608,0.376458834762073,0.595,0.689,1
"KLK7",0.0274501645034086,0.616235199919585,0.359,0.364,1
"SPRR2D",0.0313308755428996,0.835624099975671,0.479,0.545,1
"FLG",0.0413650414412317,1.68694434185294,0.117,0.099,1
"LY6G6C",0.0451751726946485,0.381842032496231,0.281,0.34,1
"TCN1",0.0461772075819111,0.303791635689185,0.389,0.401,1
