"","AASS","SERPINB3","CDH3","MAPK6","RAB10","TPX2","BIRC5","TGM1","FERMT1","HAS3","SQLE","PON2","CDC20","ATP10B","GJB6","TNFSF10","RAB38","CKS2","PI3","TXNDC17","TOP2A","CCNB1","DSC2","DSG3","TCN1","TMEM165","EHF","PRRG4","MPHOSPH6","CKAP4","NUSAP1","CLCA2","GLTP","SLC7A1","SLC39A6","S100A8","S100A7","ABCA12","TPBG","FAM83A","MPZL2","TMEM45B","MX1","PDZK1IP1","VSNL1","S100A11","S100A9","IFI16","ZC3H12A","PTTG1","FABP5","GJB2","IFI27","KLK13","PGM2","SPRR1B","HSPA4","DEFB4A","RRM2","UBE2C","HIGD1A","KPNA2","S100A7A","FAM110C","KRT16","GM2A","S100A2","SERPINB13","MPZL1","AKR1B10","PNP","KRT6A","SERPINB4","SPRR2A","Group"
"GSM1023437",9.17576504898347,13.077166041032,9.07206628897135,10.3755316664959,11.2501412714943,7.53139094514621,4.80960808588404,10.3055268056294,9.91958103868434,6.32205274109902,9.92932503869215,7.76050449556701,6.24134983581262,8.97099361927841,8.9417832072583,7.01432283194378,9.56125133322715,6.83073058570646,13.3534870863737,8.68878915135046,8.79607696688573,7.55502137189969,8.75176818581645,11.7846304812552,11.0115595029605,9.65140849478187,11.3866722167271,9.17161572829283,9.19097917557869,10.2213984605738,4.9780730351976,12.4923625097379,12.0080284144532,10.8409619128841,8.49107693115167,14.4879737823043,14.8818904919881,7.89360978607045,7.25481777442896,5.18375051571049,11.4365547072868,8.6204239833935,5.95296848897336,9.99924750536748,8.6992223346635,11.6111145416749,14.595139284691,10.5811221373659,9.31323150785612,6.69086979124272,12.0607911801774,13.8017063281586,8.41292724063159,8.00564001005345,9.77681313756851,12.2960559051326,10.4063681481978,9.46118116595088,6.54468372300355,4.1889820737321,7.87330263328517,8.23554884097978,12.5144753945009,9.49330347541576,12.5121137781649,11.4676761546279,11.0209796151003,10.2223455809203,7.44444823124382,9.82832135082583,8.83282936695498,14.5835032099419,12.5273624385218,11.3162967627374,"1"
"GSM1023438",7.90591816195718,13.1499223834674,8.52199533265485,10.4261503988205,11.4642423191993,8.19897047644121,4.80960808588404,11.4042110804889,9.66847732070637,6.32205274109902,10.2421365469025,7.76050449556701,7.0993308309402,9.80943456203182,8.9417832072583,7.01432283194378,9.87239361957634,6.70787383792093,14.1459976390226,8.26045482945815,9.07857719530798,8.32106419893032,8.75176818581645,11.7307457056755,8.59193473418597,9.44658870289337,11.1635809845071,9.38596819579557,9.19667670923834,10.5731915266922,4.9780730351976,12.0184637966171,12.4576655318054,10.7189538326655,8.49107693115167,15.234699490547,15.0683968153793,7.89360978607045,7.25481777442896,5.18375051571049,10.5706304608906,9.17526989457343,6.95296848897336,10.588052072383,9.04055848498886,11.9789543082899,15.315245145604,10.1183140776284,10.2701627859642,7.94777809427967,11.9742411482209,13.9379381404332,8.41292724063159,8.861904532592,9.83413823313825,13.6082507158578,10.1562307363785,10.9907618835154,6.54468372300355,4.1889820737321,7.87330263328517,8.85635654064766,13.3373113805601,8.89955021136677,14.3049558705236,10.8827136539067,13.2340604432354,9.88043524081526,7.44444823124382,9.59614790869679,9.32534561891154,16.4393746175201,12.5145383981642,13.1410975205012,"1"
"GSM1023439",7.28194452182132,12.8015873063071,8.78157831329971,9.89821406309538,11.0749100970665,8.30306221731114,4.80960808588404,11.6468996636316,9.51028528073007,6.32205274109902,9.69218441100908,7.76050449556701,7.0993308309402,8.82323580737241,8.9417832072583,7.01432283194378,9.30020548048681,6.53794883647862,13.6395959890811,7.9866940170313,8.94218872639204,7.63892262950863,8.75176818581645,11.0592699425186,8.29731398529434,9.54693922822584,10.6186001692775,8.86773180887523,8.89010087671129,10.5245567514414,4.9780730351976,11.4064576546442,12.4478784788847,10.2139070969385,8.49107693115167,14.2612188993584,14.7091433664354,7.89360978607045,7.25481777442896,5.18375051571049,9.28712440995984,8.74867095358594,7.53793098969452,10.7339029388465,8.15352273357818,11.8010574366942,15.2058119045181,9.44524903748713,10.0961333861892,7.43027856133725,11.1709694273416,12.9731090261393,8.41292724063159,8.70565446804676,9.66159511330801,13.3514779990815,9.55400711972676,10.6929561997782,6.54468372300355,4.1889820737321,7.87330263328517,8.02069796865595,12.1942332436461,8.51205743548112,13.5121137781649,10.4676761546279,11.7008551493877,9.99358890314945,7.44444823124382,8.20383048591803,8.68082627350993,15.4384479166195,12.2293191393724,12.6088631796814,"1"
"GSM1315608",6.83084360813729,5.39824475535036,7.23068155049245,8.91699487526278,10.065303339067,6.97317571034935,4.13637799538188,7.79429790239062,8.33684777224985,5.6961993069065,8.6064658429242,7.29593792740692,5.70925200712586,7.14359328209937,8.23444054586864,6.64146238694116,8.53463184766492,5.45960627287911,5.20100737652781,7.37082255191195,7.8905713914737,6.53353635166401,7.26100700058645,9.95481329564464,4.67936032266414,8.66793664098847,8.83123979089105,7.86475307004077,6.81814472835376,9.28274537129105,4.21329244904994,10.4674752366199,10.3565068052537,8.87149834155319,7.68646608782871,6.5895057858771,7.20178739382501,6.2165583203007,6.3773162784995,3.67575259620411,8.34196359542929,6.8283795346839,5.17522835403684,7.50987309641264,7.57521723431258,10.5451472610846,6.90300289508981,8.81636163388477,6.23845268093623,5.82857001043885,8.41470112490928,9.82175294665895,6.73078677330928,4.63110913827757,8.27638926045076,7.9823764512317,9.25936486139715,1.43789718168479,5.34644004135086,3.6191831662489,6.88782976876018,7.09595212753234,4.05288527974681,6.90294698264977,11.014922530885,8.85922106616289,10.084182093884,7.05272667452214,7.38643466169136,4.0736177615762,7.4235740375809,11.2874695279576,3.33025954950135,6.90296519709418,"0"
"GSM1315609",7.12865615829419,12.5701449487245,9.3847278524223,9.69903592139033,10.5286226693096,7.72280087648702,5.3533365306677,11.5234284716934,9.67430259654953,7.43801684321425,9.18261796486946,7.22089027076957,7.3555072430789,8.48892807671243,10.1202667057344,7.32873652093109,9.66652116710246,6.7044069258917,14.8307894447921,8.10766112671128,8.09946454575007,7.8657327820052,8.78296875145009,11.1252251485751,8.96502732909085,9.28287032593144,10.256260960322,8.2034864170523,8.28297780327576,10.2425124073001,4.49866212119584,11.13706141753,12.0991467680883,10.0257136545338,7.99183887751339,14.9864710346118,15.4636707626348,8.0018484945665,7.47719568275313,6.42916328890206,10.0107157998687,9.21917629842768,7.7232397185851,10.6256719730159,8.57094917718461,11.8828666911377,16.0857141910004,9.35497469760081,10.5685822707527,7.29893773002722,11.6737020544825,13.2696220116572,9.92630516911012,9.47576566146265,9.24446978332231,13.7236902299228,9.2982964305573,11.4533437530835,6.80954112051029,4.77926943689351,7.93427967541263,8.42693081816875,12.5431415687705,8.3488020739184,14.4231242198825,10.7017533150353,12.388302911553,9.81273787954268,6.92786043229651,9.12522680777369,9.42397076384241,15.995120016383,12.24501235705,13.1669701017518,"1"
"GSM1315610",6.24358856753933,12.0949032662357,9.91313535140286,8.27735843618389,9.44905273021008,6.41766110409027,4.74239861812224,12.5685927702932,8.0228571445882,7.53434800559851,7.80426701149822,5.98461218100093,7.36555631568071,7.82027195191214,9.34996755002108,5.87940486155972,9.38486422834141,5.61524380376435,14.6030833051753,8.30335837769487,6.68043703530514,6.61400859608729,7.94866109577038,10.5541643945297,6.37171082815054,8.52974455040405,8.98814283546863,7.259501949353,7.01763695065861,9.57633698461225,3.43434240649794,9.84056496784144,12.4141826696035,9.73326963874269,7.47860380143649,13.5395476933847,14.4221547989932,7.01763953318706,7.54541516407879,5.66620049621421,9.12856796519668,8.7408772271592,6.15096925722039,11.1061132810452,7.48906629188947,11.0487916889817,16.498586955144,7.79921424188721,10.9906111777681,5.68681752038321,11.3414884693479,13.1697361100208,9.49228736263656,8.53489003354765,8.21997477299776,12.9161340346162,8.14035423289024,11.6156047124219,6.63965729598465,3.85847411215871,6.04620397410431,7.421820728347,11.7157336635665,7.78637640023556,14.5177717110669,10.7649581806519,12.1282127604383,8.73460127027287,6.31724178313117,8.55057690830319,9.66506633189411,16.0575159608973,10.930180965728,12.7986879472298,"1"
"GSM1315612",8.18655068389048,11.5438714375345,8.72473410794441,9.8075758636607,10.5875704649159,8.27991797643564,5.47284037100641,10.143015832223,9.22553143589084,7.6824592502802,9.08192336028439,7.63860823398451,7.63859745356207,8.6300686715189,9.00288985569433,7.49796057111839,9.32240040426226,6.9171513406951,13.1263256760324,8.07267129509051,9.24808451414913,8.04123077478112,8.39184393656451,11.1142513035614,7.84698846053496,9.31838941696415,10.6025694522534,8.90920674952065,8.28959317777019,9.7146450996054,5.56839663917112,11.4243169182914,11.7333992974756,10.0016847150063,8.19177029687087,13.8865189453281,14.5928387979783,8.00092062862342,7.88405697233797,5.84301825119593,9.91304591364786,8.58957200925505,7.23221809266359,9.94650943515096,8.50944358730412,11.5134612709786,14.88138847663,9.7695592218478,9.2150574076323,7.59083743246867,10.8972566389603,12.5874909358635,9.28270548125462,7.57785596225223,9.53128975578399,12.3932784703971,9.61976773730851,9.30872792164153,6.94586124164034,5.22937340600023,7.23606360298108,8.53052080929738,11.3922750623875,8.159380581941,12.1829247053789,10.4121481142144,11.8568460959425,8.57970353506979,7.48846223591127,8.81274683145651,8.91096453750028,13.69241706512,11.0399672387791,11.6177877356482,"1"
"GSM1315613",7.44318599247638,10.4564810609517,8.15724761424462,10.0172408197952,10.4944027918451,8.3295742111995,5.78707346156321,9.74053367787804,9.18188899381423,6.82878900299556,9.13296711215136,7.26061927151343,7.97805324149193,8.34639356216858,9.72254971987609,6.75639577494334,9.30212771660991,7.01416459787714,13.1903555730713,8.65103720142173,9.34453394139396,8.41168998766356,9.29384276308469,10.8255164579825,6.42290470956128,9.34247711007414,9.81316847288906,8.51824737458143,8.14067685530863,10.2077500322638,5.4345601882239,11.6738501777948,11.3937292548381,10.8591597084776,8.83954975407853,13.5582140319391,14.0069982293581,7.73164859655735,7.78092116236714,5.06312732458929,9.58897766641599,8.04393281181104,5.26863587551359,9.26498563517025,8.99044001517402,11.4646474577417,14.77105006272,9.23921354231724,8.7968716763628,7.54698595593717,11.6274048526023,12.5131271155325,8.09208527772027,7.69092564595685,9.54650341263639,12.8368739442225,9.7046124543061,9.11631044944159,7.73908178916322,5.15830999174483,7.44044419601057,8.60782962471419,10.3929597270481,7.98767733360819,13.7648053802089,10.0492206695083,13.0059761287309,8.46722880581138,7.66320093546243,8.80245457981999,8.48868851571159,15.4092275192442,9.68369459560956,11.2346747031914,"1"
"GSM1315615",7.9438164828406,13.0562251453087,9.15588916629173,9.64830871843863,10.8156914414797,7.73934959507293,5.70241486089488,11.8550500095381,10.5680710890076,7.31386660992457,9.26701756984241,7.85964793200427,7.60832497315045,8.91186587337655,10.0540001391211,7.50623805885985,9.91090498592997,7.30460740904676,15.2541600865914,8.78598479147022,8.63072174419786,8.14820897310443,9.82266113757869,11.0979601272547,9.60517941397707,9.87294442972506,10.4536121761603,8.55388461796934,8.76935154317725,10.0580659610475,5.00617747323348,11.58259635158,12.1695034093123,10.2459995087639,8.25998543208259,15.2374671155298,15.4702425295639,8.17385144782538,7.37607434646032,6.82501315958283,10.0735595224421,8.75486832087394,7.78757472334903,10.8249902250695,8.76943644775308,11.9523606022142,16.3453030879406,9.94592741208388,10.5821699268487,7.29291212678939,12.1185075589454,13.4926383755637,10.3868387870566,9.43236775233615,9.68333577955417,13.1614804572532,9.64060863041732,12.2897771646879,7.4263771815744,4.99444955946139,8.42505377031158,8.3104787510606,12.2714008299518,8.80620103933017,13.9972107236338,11.4541142094535,12.2457444967406,10.0963420111136,7.34497826680783,9.76505219411893,9.1966512091207,15.4782240425929,12.7077110189316,12.9531191424882,"1"
"GSM1315617",8.54778746799439,13.3263895296542,8.48372888065585,11.1168022034956,11.7300981802461,7.85193614443899,5.24934980833848,10.2207951831564,10.1744013433498,6.69147932020385,10.5692334260039,8.6059685081357,6.65789575271221,8.96927820013708,10.7185663162215,8.21732370899207,9.31923305701135,7.08080441191032,13.0995813691368,8.09343702640481,9.27916435513573,7.78453241005362,10.7746970289241,11.903118508459,9.69735823947222,10.3720087359527,11.2186750608448,9.21682958003278,9.87455567849134,10.5430181670212,5.68043466331331,12.2588756897643,12.3799062781562,10.4360430794519,9.2630047229281,14.8120254690828,15.253860698371,8.37197087617665,8.1816668934968,5.74090297538385,11.4269345830829,8.75607592555732,8.874566798216,9.3661052788753,9.68340687078333,11.7522979991342,15.0210395718353,10.6806617257206,9.326004409303,7.43433769382075,13.1159738145547,13.6469335408249,9.73180589038292,8.36977160421532,10.3334221910486,13.1654709783189,10.2844999207104,11.2180651494688,7.6429887292464,4.36770341846139,9.08545854871736,8.44756841541221,12.0311172487219,9.26970529222496,13.0398824329073,10.9947356828788,11.2818042459991,10.6930125876682,7.85795793097393,9.410500553163,8.80497214955775,15.2356070566648,13.077853978071,12.4936354109508,"1"
