"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RCAN33",2.32376572452187e-13,0.337390778471327,0.549,0.36,6.55046320085469e-09,"16","RCAN3"
"TBC1D41",4.36584912953842e-13,0.307067347874461,0.205,0.095,1.23068921112558e-08,"16","TBC1D4"
"ELF1",6.80113068090654e-13,0.376231331373441,0.677,0.497,1.91717072764074e-08,"16","ELF1"
"CD282",1.89977687339519e-12,0.346621156315855,0.257,0.136,5.35528102841369e-08,"16","CD28"
"NOSIP2",2.25941914499531e-12,0.339130596562718,0.606,0.423,6.36907662782729e-08,"16","NOSIP"
"PSME1",3.16836555090814e-12,0.305002254081325,0.835,0.688,8.93130565145497e-08,"16","PSME1"
"TNFAIP8",5.98631703290992e-12,0.301275005066581,0.627,0.439,1.68748290840698e-07,"16","TNFAIP8"
"TESPA11",7.85485762311233e-12,0.323456978172282,0.291,0.164,2.21420581537913e-07,"16","TESPA1"
"SERINC52",2.85767073820701e-11,0.330294043065321,0.281,0.157,8.05548804393175e-07,"16","SERINC5"
"DNAJB12",5.03608988395402e-11,0.320578426651398,0.564,0.404,1.4196233773878e-06,"16","DNAJB1"
"PTGER41",7.68427932041017e-11,0.334017555005576,0.328,0.196,2.16612149763042e-06,"16","PTGER4"
"CD272",1.60479009951231e-10,0.357208294677256,0.436,0.288,4.52374281151524e-06,"16","CD27"
"HELB",2.29928681760036e-10,0.32501004351604,0.276,0.159,6.48145961013366e-06,"16","HELB"
"SELL3",2.46176615113127e-10,0.358517577752898,0.622,0.456,6.93947260342393e-06,"16","SELL"
"BAZ1A",1.28090565913068e-09,0.301005940137205,0.407,0.271,3.61074496252348e-05,"16","BAZ1A"
"TRBC22",2.43342728145889e-09,0.32290449339352,0.787,0.66,6.85958816370445e-05,"16","TRBC2"
"USP151",3.7262808825457e-09,0.324685185181579,0.567,0.421,0.000105040131798081,"16","USP15"
"IL6ST1",5.36297661062758e-09,0.309813886951197,0.31,0.193,0.000151176947676981,"16","IL6ST"
"PASK1",1.42825537024364e-08,0.329223609235424,0.202,0.113,0.000402610906317981,"16","PASK"
"GIMAP11",4.21788961310255e-08,0.322584258333343,0.407,0.282,0.00118898090303748,"16","GIMAP1"
"XRN1",1.48773805270259e-07,0.329202950010582,0.415,0.294,0.00419378479676333,"16","XRN1"
"JUNB2",1.6008722651761e-07,0.390350243998245,0.848,0.79,0.00451269882830492,"16","JUNB"
"FOS3",6.47997753668249e-06,0.312921704633433,0.861,0.826,0.182664086781543,"16","FOS"
"RP5-1028K7.2",0,1.9958218054815,0.655,0.022,0,"17","RP5-1028K7.2"
"MYB",0,1.07843436315881,0.386,0.006,0,"17","MYB"
"TIMD4",0,0.745298476907831,0.24,0.003,0,"17","TIMD4"
"FXYD2",1.38793583902212e-287,0.722294296508019,0.246,0.007,3.91245233661946e-283,"17","FXYD2"
"FGFR1",1.05432737917547e-214,0.770841264373677,0.322,0.016,2.97204344915772e-210,"17","FGFR1"
"FABP5",9.18441399890816e-208,1.26122862430108,0.596,0.055,2.58899446215222e-203,"17","FABP5"
"CDCA7",1.02711033367028e-192,0.52133601769834,0.263,0.012,2.89532131958315e-188,"17","CDCA7"
"MT1F",1.60157483599134e-190,1.22301104268446,0.632,0.067,4.514679305176e-186,"17","MT1F"
"GZMK1",1.25272529139607e-169,3.01244258157934,0.871,0.166,3.53130732391639e-165,"17","GZMK"
"MYL6B",8.42825616211568e-165,0.645089543725923,0.38,0.028,2.37584112953879e-160,"17","MYL6B"
"SESTD1",8.23300955734008e-163,0.863111706064083,0.386,0.029,2.32080306411859e-158,"17","SESTD1"
"PGM2L1",1.20848259847875e-154,1.28404973424362,0.579,0.068,3.40659159685174e-150,"17","PGM2L1"
"HAVCR2",1.64905972901499e-139,0.879104890582435,0.38,0.033,4.64853447012035e-135,"17","HAVCR2"
"CTLA41",7.27008600810177e-138,0.648733291868105,0.327,0.025,2.04936454482381e-133,"17","CTLA4"
"TIGIT1",1.84025395285583e-133,1.38049222326172,0.655,0.097,5.18749186770531e-129,"17","TIGIT"
"CD273",1.01067140304837e-123,2.13875738451975,0.953,0.288,2.84898161805305e-119,"17","CD27"
"PRDM8",4.10471166045327e-122,0.58361782541385,0.257,0.018,1.15707716996517e-117,"17","PRDM8"
"CD38",1.77771559149068e-120,0.882560416820566,0.462,0.053,5.01120248085308e-116,"17","CD38"
"LINC01550",1.46439943595237e-110,1.03822969707147,0.579,0.089,4.12799557000613e-106,"17","LINC01550"
"MT1E",2.42287622754994e-105,0.966337343504935,0.38,0.042,6.82984579784052e-101,"17","MT1E"
"DENND2D",4.63265428009895e-96,1.33796112832935,0.76,0.179,1.30589891501709e-91,"17","DENND2D"
"MPP1",1.29602129580142e-94,0.427626899587709,0.269,0.024,3.65335443073463e-90,"17","MPP1"
"LGALS31",3.9902538007952e-94,1.27788023154298,0.55,0.093,1.12481264390616e-89,"17","LGALS3"
"GPKOW",6.25776637959773e-90,0.694223974833508,0.392,0.05,1.76400176474481e-85,"17","GPKOW"
"TMSB4X1",1.16737036730057e-87,1.29099592881035,1,0.999,3.29070032838358e-83,"17","TMSB4X"
"ACTG11",5.32330812749882e-87,2.25870630169035,1,0.861,1.50058732806064e-82,"17","ACTG1"
"GBP22",5.32291237843892e-86,1.26640704725474,0.789,0.204,1.50047577035815e-81,"17","GBP2"
"NUCB22",3.54884889928261e-83,1.74216067764914,0.848,0.283,1.00038501621877e-78,"17","NUCB2"
"CARS",7.40093368151252e-82,0.966358407796933,0.491,0.084,2.08624919548157e-77,"17","CARS"
"CCDC64",1.04243010537054e-80,0.77740129470382,0.45,0.071,2.93850622402901e-76,"17","CCDC64"
"DTHD1",5.92989796662588e-79,0.797878291783273,0.38,0.052,1.67157893781217e-74,"17","DTHD1"
"CNN2",8.50844111187727e-78,1.49294996419532,0.901,0.342,2.39844446502708e-73,"17","CNN2"
"SIRPG",1.61272396471682e-77,0.806864042705526,0.468,0.079,4.54610758414024e-73,"17","SIRPG"
"MIR181A1HG",2.250542917605e-76,0.402929579700291,0.246,0.024,6.34405543043672e-72,"17","MIR181A1HG"
"CLDND12",8.37206248731433e-76,1.59435189132878,0.719,0.198,2.36000069454904e-71,"17","CLDND1"
"HSPB11",1.70368144015507e-75,0.974896559320135,0.69,0.161,4.80250761165312e-71,"17","HSPB11"
"CD283",9.09236460676534e-74,1.00870673371777,0.614,0.136,2.56304665900108e-69,"17","CD28"
"PHACTR22",5.13004324790879e-73,1.08936172807181,0.69,0.168,1.44610789115301e-68,"17","PHACTR2"
"MT2A1",1.78708488218366e-72,1.91794782526898,0.83,0.315,5.03761357438751e-68,"17","MT2A"
"SH2D1A1",2.91035289077623e-72,1.20863452258908,0.661,0.163,8.20399376380912e-68,"17","SH2D1A"
"S1PR41",1.34471432925409e-68,1.43506283891005,0.795,0.268,3.79061522273436e-64,"17","S1PR4"
"RAB371",2.45783840149629e-68,0.826630243180424,0.591,0.127,6.92840066997788e-64,"17","RAB37"
"FCMR2",3.56622882541265e-68,1.29223500345757,0.836,0.278,1.00528424359557e-63,"17","FCMR"
"COTL12",1.97067943983909e-67,1.41768618365267,0.918,0.411,5.5551482729624e-63,"17","COTL1"
"EPSTI11",3.51216807847669e-66,0.885942610215655,0.52,0.105,9.90045059641794e-62,"17","EPSTI1"
"GYPC",1.17656583677978e-65,1.40003753455984,0.947,0.489,3.31662143729852e-61,"17","GYPC"
"LDLRAD4",1.96285402689013e-64,0.528569983695557,0.316,0.044,5.53308921640059e-60,"17","LDLRAD4"
"ISG202",1.09021631903847e-63,1.5160961413355,0.93,0.498,3.07321078173754e-59,"17","ISG20"
"RP11-1399P15.11",4.93709047916674e-63,0.628186092856811,0.251,0.03,1.39171643517231e-58,"17","RP11-1399P15.1"
"LYST2",5.68850881166712e-62,1.08089054315287,0.719,0.203,1.60353374892084e-57,"17","LYST"
"GPR1834",9.70140939385778e-62,1.5027805318097,0.754,0.254,2.73473029403457e-57,"17","GPR183"
"RNASEH2B",2.07491850573018e-61,1.00932414275866,0.719,0.209,5.8489877758028e-57,"17","RNASEH2B"
"GBP11",2.26150949353335e-60,0.878390413829945,0.52,0.117,6.37496911132115e-56,"17","GBP1"
"ARHGDIB",3.25534848340182e-60,1.19881963172664,0.994,0.832,9.17650183986139e-56,"17","ARHGDIB"
"SLAMF6",7.23566979846258e-60,0.675636560537511,0.52,0.11,2.03966295948862e-55,"17","SLAMF6"
"GMFG",8.15390120629482e-60,1.30108529502777,0.965,0.714,2.29850321104245e-55,"17","GMFG"
"ACTB1",1.62567394788414e-58,1.29811956364081,1,0.978,4.5826122916906e-54,"17","ACTB"
"PPM1G",1.68121721216003e-58,1.08609240012748,0.825,0.296,4.73918319935791e-54,"17","PPM1G"
"CHI3L2",1.51183431112216e-57,0.737852174010661,0.345,0.058,4.26170973962225e-53,"17","CHI3L2"
"SEPT61",3.19011236967455e-57,1.42649624577524,0.936,0.518,8.99260775887558e-53,"17","SEPT6"
"RP11-620J15.3",3.88419169383875e-57,0.663694644561073,0.421,0.08,1.09491479657621e-52,"17","RP11-620J15.3"
"CARHSP1",5.78261955915128e-57,0.791623230970663,0.567,0.135,1.63006262752915e-52,"17","CARHSP1"
"SPTBN11",1.46502679803536e-56,1.15673105943474,0.69,0.215,4.12976404098187e-52,"17","SPTBN1"
"CRTAM",2.71737619931249e-56,0.472623579200678,0.292,0.043,7.66001176824199e-52,"17","CRTAM"
"PFN11",4.8548330019341e-56,1.16694624183343,1,0.886,1.3685288749152e-51,"17","PFN1"
"GIMAP41",2.98390391876655e-55,1.30055746820045,0.918,0.414,8.41132675661103e-51,"17","GIMAP4"
"BCL2L11",4.6802588126551e-55,0.673032071417804,0.363,0.064,1.31931815669935e-50,"17","BCL2L11"
"SMC4",7.1952222494068e-55,0.797898416105895,0.456,0.095,2.02826119988528e-50,"17","SMC4"
"CD3D1",3.7798444978114e-54,1.16284271970897,0.982,0.665,1.06550036548806e-49,"17","CD3D"
"RCSD1",8.25851171492677e-54,1.05914786123196,0.807,0.296,2.32799186732071e-49,"17","RCSD1"
"EZH2",8.67958914664103e-54,0.539705479954765,0.31,0.049,2.44668938454664e-49,"17","EZH2"
"SESN32",6.69916020133653e-53,1.09289811436769,0.567,0.151,1.88842626915476e-48,"17","SESN3"
"SLFN53",8.65195313713596e-53,1.27425528832781,0.877,0.396,2.43889906982726e-48,"17","SLFN5"
"CCDC109B2",1.91765213070606e-52,1.10855432036827,0.848,0.339,5.40566959124731e-48,"17","CCDC109B"
"RAC2",5.87596477711509e-52,1.152862649546,0.953,0.625,1.65637571102097e-47,"17","RAC2"
"RGS101",2.34343806001798e-51,1.17716638183971,0.854,0.386,6.60591754738468e-47,"17","RGS10"
"SIT1",2.64945906149019e-51,0.699182538809893,0.491,0.113,7.46856014843471e-47,"17","SIT1"
"BRD7",4.86243261632942e-51,1.21718907645323,0.83,0.352,1.3706711302171e-46,"17","BRD7"
"MT1X",6.1865623140374e-51,0.716977397342602,0.538,0.132,1.743930050704e-46,"17","MT1X"
"CCDC28B",1.51311847595958e-50,0.415030242696965,0.316,0.052,4.26532967188247e-46,"17","CCDC28B"
"LIMD2",4.89094726501628e-50,1.21540262163889,0.959,0.666,1.37870912453544e-45,"17","LIMD2"
"UCP2",2.98525495144807e-48,1.22004643559393,0.865,0.424,8.41513518263695e-44,"17","UCP2"
