"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSPA1B",7.14971419401576e-18,-0.365935527376683,0.67,0.797,2.0154329341511e-13
"SLURP2",2.3101179809809e-17,1.20022696054598,0.24,0.162,6.51199157658707e-13
"CEBPB",2.50383253348935e-17,0.346139407716281,0.714,0.725,7.05805352865312e-13
"EXOC6B",2.74785097124369e-17,-0.306085109157526,0.233,0.316,7.74591710283884e-13
"NAMPT",5.98939960825533e-16,0.302255760231458,0.686,0.679,1.6883518555711e-11
"CARHSP1",2.14040073432321e-15,0.356077872784939,0.641,0.667,6.0335756299837e-11
"HIGD1A",3.84512291796608e-15,0.378402301342419,0.578,0.559,1.08390169934546e-10
"ELOVL4",5.2334561024194e-15,0.401180070803642,0.419,0.343,1.475258940711e-10
"KRT14",8.42981094604747e-15,-0.365717773768404,0.876,0.892,2.37627940758132e-10
"SLURP1",2.44662179778598e-14,1.55667522326728,0.306,0.239,6.8967821857789e-10
"KRT78",3.58664916073813e-14,0.384248853648084,0.27,0.199,1.01104053192047e-09
"CARD18",2.70233344098681e-13,0.404231076282861,0.335,0.261,7.61760773679772e-09
"SPTSSB",8.18424632056521e-13,0.349968958771719,0.299,0.231,2.30705719530413e-08
"FAM160A1",1.28424243185912e-12,-0.403710904336357,0.199,0.26,3.62015099116767e-08
"TUBB2A",3.02862701683431e-11,0.336520951962558,0.693,0.716,8.53739669775425e-07
"KLK8",3.21868295748194e-11,0.424518899603653,0.698,0.733,9.07314538884584e-07
"FGFBP1",4.69167088345566e-11,0.309259759695458,0.712,0.761,1.32253510533732e-06
"ATP6V0C",6.66138368413471e-11,0.333957351831708,0.562,0.531,1.87777744672073e-06
"A2ML1",1.05853206085872e-10,0.385885302122912,0.501,0.441,2.98389602635464e-06
"KLK10",5.011599550045e-10,0.383435482556183,0.494,0.469,1.41271979716219e-05
"TUBA4A",1.98349084113108e-09,0.327217132169775,0.694,0.725,5.59126233206442e-05
"PYDC1",5.42150602176905e-09,0.440696139890731,0.28,0.225,0.000152826833247648
