"Natural killer (NK) cell"	"CD4+ T cell"	"Monocyte:CD16+"	"Monocyte:CD16-"	"Naive CD4+ T cell"	"Natural killer T (NKT) cell"	"Neutrophil"	"Megakaryocyte"	"B cell"	"Dendritic cell"	"Regulatory T (Treg) cell"	"Naive CD8+ T cell"	"Plasmacytoid dendritic cell"	"Plasma cell"	"Exhausted CD8+ T cell"	"MKI67+ progenitor cell"	"Endothelial cell"	"Macrophages"	"Mast cell"	"keratinocyte"	"Basal cell"	"Myofibroblast"	"Fibroblast"
"MBD4"	0.358619775558894	0.293268522610105	0.347070033349214	0.44927853082641	0.223927501278959	0.341697734442214	0.293513545416986	0.215492377420684	0.826437855747175	0.632107023411371	0.249120750293083	0.258947368421053	0.670863309352518	0.953846153846154	0.317269076305221	0.711069418386492	0.446842525979217	0.245901639344262	0.0105263157894737	0.0224143451809158	0.358455016486105	0.186192468619247	0.293333333333333
"BTG1"	5.56044004594857	6.9793784062454	4.9130538351596	4.80061215566244	4.82978878900826	6.46888442787496	3.03210765507879	4.3790688092295	8.95862713448305	7.56730769230769	5.57737397420868	5.60918660287081	4.8363309352518	4.24230769230769	6.73092369477912	6.16510318949343	8.23661071143085	5.4207650273224	0.968421052631579	7.39353186039065	10.9882242110221	4.73953974895398	2.39133333333333
"PRDM2"	0.527304055845189	0.415009574311386	0.513816102906146	0.462323276490308	0.310019732514799	0.478778319472326	0.279407424895237	0.73135558302431	1.04791436581429	0.696070234113712	0.405041031652989	0.423732057416268	0.633093525179856	0.973076923076923	0.405622489959839	0.979362101313321	0.966426858513189	0.647540983606557	0.189473684210526	0.548511047070125	1.68487988695243	0.784518828451883	1.48733333333333
"SNHG7"	0.288724927100822	0.415598762704375	0.276322058122916	0.326337268619735	0.451874588905942	0.32152757862537	0.170512896181314	0.264112072517511	0.817177809871719	0.653010033444816	0.354630715123095	0.519808612440191	1.48021582733813	0.5	0.309236947791165	0.619136960600375	0.115907274180655	0.0355191256830601	0	0.576368876080692	0.174752708431465	0.115062761506276	0.00866666666666667
"ISG20"	0.602014668198286	0.979673000441891	0.284659361600762	0.139265413205072	0.583205437404078	0.704808335723162	0.114560585492534	0.501854140914709	1.2314161923371	0.556438127090301	1.17116060961313	0.924784688995215	0.428057553956835	8.39615384615385	2.19678714859438	1.96060037523452	0.34052757793765	0.866120218579235	0	2.9113032340698	0.562411681582666	0.0847280334728033	0.114
"KRT1"	0.00353450561102766	0.0609073501252025	0.000476417341591234	0.00080163241509984	0.00504275378206534	0.0035847433323774	0.00141651419465266	0.272352698805109	0.00356809107127687	0.0392976588628763	0.00644783118405627	0.00076555023923445	0.00359712230215827	0	0.0240963855421687	2.16510318949343	2.16067146282974	1.35245901639344	0.505263157894737	1.22478386167147	144.885068299576	2.11924686192469	2.01333333333333
"KRT10"	0.680259786162411	0.746869936662248	0.639352072415436	0.578632852353884	0.60301103559161	0.735206959181723	0.307088473115741	0.874742480428513	0.904341177470053	1.30811036789298	0.575029308323564	0.817416267942584	1.23920863309353	1.46923076923077	0.650602409638554	8.6078799249531	6.42525979216627	3.4672131147541	1.09473684210526	3.01857188600704	324.576542628356	5.3755230125523	5.14466666666667
"KRT14"	4.41813201378457e-05	0	0	0.000437254044599913	0	0	0.00283302838930532	0.217140502678204	0	0.190635451505017	0	0	0	0	0	13.7861163227017	1.51478816946443	1.42349726775956	0.252631578947368	1.52161383285303	71.502119642016	4.168410041841	1.00733333333333
"SFN"	0.000751082442343377	0.000515539843865076	0.00238208670795617	0.00204051887479959	0.000292333552583498	0.000812541822005544	0.000826299946880718	0.182117840955913	0.000424772746580579	0.118311036789298	0.00234466588511137	0.000574162679425837	0.00179856115107914	0	0.00401606425702811	1.88930581613508	1.29416466826539	0.923497267759563	0.273684210526316	6.91962856227986	86.329251059821	2.03661087866109	0.96
"DMKN"	0.0207652204647875	0.00471350714390927	0	0.0010202594373998	0.000438500328875247	0.0177803269285919	0.00182966416809302	0.318912237330037	0.00569195480417976	0.442307692307692	0.000586166471277843	0.00191387559808612	0.00539568345323741	0.0115384615384615	0	2.21013133208255	1.61390887290168	1.28142076502732	0.2	23.6951649055395	88.1455487517664	1.26464435146444	0.874666666666667
