"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"130",0,2.21157913012674,0.342,0.066,0,"4","FGL2"
"131",0,2.38838572327957,0.735,0.128,0,"5","GZMK"
"132",0,1.72753718128855,0.807,0.304,0,"5","DUSP2"
"133",0,1.52644906963005,0.981,0.461,0,"5","CCL5"
"134",0,1.46215353649207,0.578,0.199,0,"5","CMC1"
"135",0,1.40491873827306,0.681,0.183,0,"5","CD8B"
"136",0,1.1898573704256,0.638,0.185,0,"5","CD8A"
"137",0,1.14532826973165,0.691,0.272,0,"5","LYAR"
"138",0,1.01235714524442,0.948,0.822,0,"5","JUN"
"139",0,0.827319351735517,0.926,0.781,0,"5","JUNB"
"140",0,0.820679321030571,0.736,0.477,0,"5","PIK3R1"
"141",0,3.37033536410531,0.945,0.046,0,"6","IGHD"
"142",0,3.22685994517091,0.714,0.182,0,"6","IGKC"
"143",0,3.20481741294626,0.999,0.297,0,"6","HLA-DRA"
"144",0,3.09035380888367,1,0.525,0,"6","CD74"
"145",0,3.04200791145603,0.486,0.087,0,"6","IGLC2"
"146",0,3.01733765722378,0.934,0.065,0,"6","IGHM"
"147",0,2.97658548925905,0.948,0.1,0,"6","CD79A"
"148",0,2.73503981145772,0.939,0.092,0,"6","MS4A1"
"149",0,2.6499690303435,0.841,0.073,0,"6","MEF2C"
"150",0,2.6443140869046,0.963,0.296,0,"6","HLA-DRB1"
"151",0,1.76200958434728,0.881,0.174,0,"7","CD8B"
"152",0,1.31656478325148,0.464,0.034,0,"7","RP11-291B21.2"
"153",0,0.893942484865964,0.235,0.035,0,"7","S100B"
"154",0,0.86235974826058,0.645,0.255,0,"7","OXNAD1"
"155",0,0.850865676668845,0.423,0.087,0,"7","NELL2"
"156",0,0.847133902970041,0.755,0.364,0,"7","RGS10"
"157",0,0.846650610747147,0.64,0.239,0,"7","LEF1"
"158",0,0.839662167361157,0.649,0.261,0,"7","NUCB2"
"159",0,0.755662458774922,0.341,0.068,0,"7","CARS"
"160",0,0.754525847365101,0.559,0.202,0,"7","CCR7"
"161",0,2.23528661067566,0.896,0.281,0,"8","KLRB1"
"162",0,1.90602008493452,0.74,0.141,0,"8","GZMK"
"163",0,1.78927018196169,0.541,0.079,0,"8","TRGC1"
"164",0,1.7335508798686,0.498,0.131,0,"8","TRDC"
"165",0,1.65925179530376,0.821,0.314,0,"8","DUSP2"
"166",0,1.30800231706236,0.704,0.193,0,"8","KLRG1"
"167",0,1.06382568468678,0.721,0.28,0,"8","LYAR"
"168",0,1.04484824885589,0.981,0.472,0,"8","CCL5"
"169",0,1.03493911148105,0.892,0.603,0,"8","IL7R"
"170",0,1.01117593757364,0.454,0.125,0,"8","NCR3"
"171",0,3.03508109693291,0.716,0.194,0,"9","IGKC"
"172",0,2.83896341105651,0.402,0.1,0,"9","IGLC2"
"173",0,2.77545921413204,1,0.313,0,"9","HLA-DRA"
"174",0,2.73442413042737,0.972,0.11,0,"9","MS4A1"
"175",0,2.62160056194465,1,0.535,0,"9","CD74"
"176",0,2.60025688648954,0.965,0.119,0,"9","CD79A"
"177",0,2.38858358387487,0.925,0.081,0,"9","BANK1"
"178",0,2.28255121622987,0.991,0.399,0,"9","HLA-DPB1"
"179",0,2.25925960426832,0.981,0.35,0,"9","HLA-DPA1"
"180",0,2.23000318869254,0.29,0.057,0,"9","IGLC3"
