"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD381",8.86443217103707e-96,0.305603313556113,0.301,0.051,2.49879478469364e-91,"18","CD38"
"PKIB2",1.90020007012923e-95,0.399439691990495,0.239,0.035,5.3564739776873e-91,"18","PKIB"
"RPL81",5.90741805399206e-95,0.683717718560434,1,0.985,1.66524207523982e-90,"18","RPL8"
"SUB13",2.09790085097121e-93,0.995896631193508,0.986,0.788,5.91377270880275e-89,"18","SUB1"
"S100A103",2.49573233246967e-93,1.00570884498625,0.997,0.931,7.03521987199876e-89,"18","S100A10"
"RPL354",3.35033056114875e-93,0.689978653536576,0.997,0.974,9.44424681882221e-89,"18","RPL35"
"SLC38A15",5.17006162527464e-92,0.498500083291644,0.575,0.161,1.45738867154867e-87,"18","SLC38A1"
"TOP1MT",5.27849639610357e-92,0.322841186177949,0.321,0.058,1.48795534909763e-87,"18","TOP1MT"
"ATP5MPL1",1.60066630871292e-91,0.935248295491331,0.299,0.054,4.51211825763085e-87,"18","ATP5MPL"
"EEF1G1",1.62972127211967e-91,1.44624600125194,0.363,0.078,4.59402129397813e-87,"18","EEF1G"
"SLC2A11",1.67446703361805e-91,0.308506469109598,0.265,0.043,4.72015512106593e-87,"18","SLC2A1"
"SUSD3",4.40450709856436e-90,0.310578814727376,0.315,0.058,1.24158650601431e-85,"18","SUSD3"
"RTRAF1",2.75553094261399e-89,0.677180489041014,0.256,0.042,7.76756617413458e-85,"18","RTRAF"
"CCDC126",1.21099427923487e-88,0.410655945451539,0.352,0.071,3.41367177373517e-84,"18","CCDC126"
"TMSB4X1",2.8962322250407e-87,0.812111044203744,1,0.999,8.16418901916724e-83,"18","TMSB4X"
"ATP5MF1",8.89533978124327e-87,0.93407022668365,0.293,0.055,2.50750733093467e-82,"18","ATP5MF"
"NCOA71",1.90482815116609e-86,0.578335688962648,0.614,0.191,5.3695200753221e-82,"18","NCOA7"
"DUSP4",1.24671832898151e-85,0.653776271570779,0.223,0.033,3.51437429756598e-81,"18","DUSP4"
"RPLP04",3.48468590979908e-84,0.734049747256817,0.986,0.939,9.82298111113262e-80,"18","RPLP0"
"GSTP11",5.04420006745434e-84,0.943795001823973,0.983,0.9,1.4219095570147e-79,"18","GSTP1"
"RPS184",1.67348611135909e-83,0.62056939747336,0.997,0.996,4.71738999931013e-79,"18","RPS18"
"NAP1L11",4.57020692193623e-83,0.942251771815646,0.98,0.83,1.2882956292246e-78,"18","NAP1L1"
"ATP5PB1",8.76108125364799e-83,0.599597253496751,0.203,0.03,2.46966119459083e-78,"18","ATP5PB"
"ATP5F1A1",3.53841984309398e-82,0.649410608830113,0.231,0.038,9.97445169569763e-78,"18","ATP5F1A"
"RPSA4",4.08774363359877e-82,0.801293708308916,0.989,0.93,1.15229405287516e-77,"18","RPSA"
"RPS84",4.87234319092729e-82,0.626474985904528,0.997,0.992,1.37346482209049e-77,"18","RPS8"
"CSRP1",3.35982162241122e-81,0.543685899638113,0.589,0.183,9.47100117141499e-77,"18","CSRP1"
"KCNK61",6.40849627481143e-81,0.796767491089482,0.721,0.275,1.80649101490659e-76,"18","KCNK6"
"RPL27A3",1.33918943909002e-80,0.710679130916716,0.994,0.987,3.77504110985086e-76,"18","RPL27A"
"REPIN11",9.3958962829594e-80,0.546648151034886,0.58,0.177,2.64860920320343e-75,"18","REPIN1"
"RPL104",1.0786854070902e-79,0.537414207741698,1,0.998,3.04070629404656e-75,"18","RPL10"
"PRKAR2B",1.75184719833878e-79,0.382099397217508,0.338,0.072,4.93828206739718e-75,"18","PRKAR2B"
"C1QBP2",7.01334120403704e-79,0.858661862614242,0.775,0.346,1.976990752006e-74,"18","C1QBP"
"JPT11",1.77710824661805e-78,0.855101229179153,0.256,0.046,5.00949043639161e-74,"18","JPT1"
"ATP5PF1",2.87250624357296e-78,0.735339395531038,0.268,0.05,8.09730785000782e-74,"18","ATP5PF"
"C12orf452",5.61066856682934e-78,0.452089713563235,0.496,0.138,1.58159136230352e-73,"18","C12orf45"
"NDUFV24",9.57275818097392e-78,0.894079931524083,0.848,0.42,2.69846480363474e-73,"18","NDUFV2"
"RGS14",9.661313110135e-78,1.11813977238953,0.538,0.171,2.72342755261596e-73,"18","RGS1"
"HMGN13",1.04689616868879e-77,0.923421103750442,0.901,0.522,2.95109560991682e-73,"18","HMGN1"
"RPS72",4.0715221087199e-77,0.547605117698394,0.997,0.983,1.14772136722705e-72,"18","RPS7"
"ATP5F1D1",4.11770749128861e-77,0.760512235439017,0.268,0.051,1.16074056471935e-72,"18","ATP5F1D"
"RPL53",6.59075656602222e-76,0.661924303200682,0.992,0.971,1.857868368396e-71,"18","RPL5"
"RPL144",1.17184564374599e-75,0.577126422893469,0.997,0.979,3.30331568515557e-71,"18","RPL14"
"RPS151",1.54482370362495e-75,0.487514635944916,0.997,0.991,4.35470353814837e-71,"18","RPS15"
