"","AASS","SERPINB3","CDH3","MAPK6","RAB10","TPX2","BIRC5","TGM1","FERMT1","HAS3","SQLE","PON2","CDC20","ATP10B","GJB6","TNFSF10","RAB38","CKS2","PI3","TXNDC17","TOP2A","CCNB1","DSC2","DSG3","TCN1","TMEM165","EHF","PRRG4","MPHOSPH6","CKAP4","NUSAP1","CLCA2","GLTP","SLC7A1","SLC39A6","S100A8","S100A7","ABCA12","TPBG","FAM83A","MPZL2","TMEM45B","MX1","PDZK1IP1","VSNL1","S100A11","S100A9","IFI16","ZC3H12A","PTTG1","FABP5","GJB2","IFI27","KLK13","PGM2","SPRR1B","HSPA4","DEFB4A","RRM2","UBE2C","HIGD1A","KPNA2","S100A7A","FAM110C","KRT16","GM2A","S100A2","SERPINB13","MPZL1","AKR1B10","PNP","KRT6A","SERPINB4","SPRR2A","Group"
"GSM1023434",7.24119319668647,7.4194836963903,7.11211953849179,9.77645015144077,10.6229709995787,6.86248962592516,4.80960808588404,8.22231343738047,8.56842371678159,6.32205274109902,8.97130748816693,7.76050449556701,5.24134983581262,7.35971328424039,8.9417832072583,7.01432283194378,8.88278138837109,6.02337566364886,7.03614626098203,7.68878915135045,8.12492303311089,6.47509782760274,8.75176818581645,9.98603356787692,4.75674560393164,9.12826838819365,9.36748221598772,7.97755508682798,7.9909754784705,9.21630359345109,4.9780730351976,10.9930736742179,10.7802437422463,9.19348250168921,8.49107693115167,9.53685334197185,11.7702357087824,7.89360978607045,7.25481777442896,5.18375051571049,9.30627551030475,7.75638886674678,6.95296848897336,7.98765953109227,7.32277687007425,10.5538397363231,10.0041780433484,9.36492110189167,6.54769676149314,5.97815174332319,9.36479101506652,9.80598498668792,8.41292724063159,6.20655270397944,8.94403976608814,9.87204682203564,9.73838916422293,4.76074144780978,6.54468372300355,4.1889820737321,7.87330263328517,7.26251588858005,6.70217464983852,7.56433471434818,9.97238053143675,9.8827136539067,9.22854068503565,7.74333408634444,7.44444823124382,6.34133400966797,7.51090127206762,10.1730155842486,6.20194816785622,8.74858794334803,"0"
"GSM1023435",7.41701076605198,6.98652428911419,7.78157831329972,9.32240968594335,10.4698738015993,7.34886590692427,4.80960808588404,8.80727593810162,9.09434862589648,6.32205274109902,9.31567978326691,7.76050449556701,6.70078145444992,7.92163430663358,8.9417832072583,7.01432283194378,9.50183934165646,6.42547410722021,6.48513109218421,7.70196454009819,8.47866435312086,6.96573294577574,8.75176818581645,10.1478714539471,3.8822764860155,8.74656572782221,9.25476691180019,8.1749133183934,7.83480274327649,9.54637486164706,4.9780730351976,11.3106986718388,10.7535264038705,9.33497547680444,8.49107693115167,8.25275732061022,9.17816632156701,7.89360978607045,7.25481777442896,5.18375051571049,8.67130962964094,7.8082277982664,6.80096539552831,8.31886543956764,8.30046147960502,10.3720684920327,8.26721244918222,9.26274516505551,8.2030485901057,6.20054416465964,9.28438544116848,10.6663212004317,8.41292724063159,6.49343385176761,8.92058079326415,9.7141859994668,9.79795632798299,3.34570394853094,6.54468372300355,4.1889820737321,7.87330263328517,7.62310560383652,4.50423527222661,7.11640892131047,11.7994467801221,9.8827136539067,10.8786925046908,7.98332056769562,7.44444823124382,5.10429481236712,8.05379971322223,12.8153350067341,5.05510677952695,6.47624187731123,"0"
"GSM1023436",6.68062585011494,6.61879250461371,8.05608550357746,9.39141004646565,10.2905631528053,7.21987946620419,4.80960808588404,8.64185232889425,9.1765109429946,6.32205274109902,8.94345536752704,7.76050449556701,6.48927734925621,7.63261917102708,8.9417832072583,7.01432283194378,8.61496191997192,4.53794883647862,7.56666097768081,6.92060482657353,8.13925455865538,6.84374242139713,8.75176818581645,9.92690110767986,3.6192420801817,8.82902788801418,8.48923216543722,8.00745657254184,7.21283247762938,9.3801668421062,4.9780730351976,10.3780539396406,11.0431205712091,9.31104396766882,8.49107693115167,7.51579172644402,8.03208806207907,7.89360978607045,7.25481777442896,5.18375051571049,7.91118100285541,6.6796076322593,6.80096539552831,8.42578064348415,7.64497334837619,11.047589211616,8.68224994846106,8.63490359605663,6.47369618004937,6.28396017284728,8.87586124884831,8.8167380429848,8.41292724063159,6.29061696876792,8.89329496734301,9.23492454510227,9.35603647264769,3.76074144780978,6.54468372300355,4.1889820737321,7.87330263328517,6.7681559366398,5.03148227509148,6.48519082962844,11.3301931620226,8.8827136539067,9.64068990498966,7.60892505291413,7.44444823124382,4.99737960845061,7.49841032788442,11.1866646457604,5.33521469871968,8.41399343662451,"0"
"GSM1023437",9.17576504898347,13.077166041032,9.07206628897135,10.3755316664959,11.2501412714943,7.53139094514621,4.80960808588404,10.3055268056294,9.91958103868434,6.32205274109902,9.92932503869215,7.76050449556701,6.24134983581262,8.97099361927841,8.9417832072583,7.01432283194378,9.56125133322715,6.83073058570646,13.3534870863737,8.68878915135046,8.79607696688573,7.55502137189969,8.75176818581645,11.7846304812552,11.0115595029605,9.65140849478187,11.3866722167271,9.17161572829283,9.19097917557869,10.2213984605738,4.9780730351976,12.4923625097379,12.0080284144532,10.8409619128841,8.49107693115167,14.4879737823043,14.8818904919881,7.89360978607045,7.25481777442896,5.18375051571049,11.4365547072868,8.6204239833935,5.95296848897336,9.99924750536748,8.6992223346635,11.6111145416749,14.595139284691,10.5811221373659,9.31323150785612,6.69086979124272,12.0607911801774,13.8017063281586,8.41292724063159,8.00564001005345,9.77681313756851,12.2960559051326,10.4063681481978,9.46118116595088,6.54468372300355,4.1889820737321,7.87330263328517,8.23554884097978,12.5144753945009,9.49330347541576,12.5121137781649,11.4676761546279,11.0209796151003,10.2223455809203,7.44444823124382,9.82832135082583,8.83282936695498,14.5835032099419,12.5273624385218,11.3162967627374,"1"
"GSM1023438",7.90591816195718,13.1499223834674,8.52199533265485,10.4261503988205,11.4642423191993,8.19897047644121,4.80960808588404,11.4042110804889,9.66847732070637,6.32205274109902,10.2421365469025,7.76050449556701,7.0993308309402,9.80943456203182,8.9417832072583,7.01432283194378,9.87239361957634,6.70787383792093,14.1459976390226,8.26045482945815,9.07857719530798,8.32106419893032,8.75176818581645,11.7307457056755,8.59193473418597,9.44658870289337,11.1635809845071,9.38596819579557,9.19667670923834,10.5731915266922,4.9780730351976,12.0184637966171,12.4576655318054,10.7189538326655,8.49107693115167,15.234699490547,15.0683968153793,7.89360978607045,7.25481777442896,5.18375051571049,10.5706304608906,9.17526989457343,6.95296848897336,10.588052072383,9.04055848498886,11.9789543082899,15.315245145604,10.1183140776284,10.2701627859642,7.94777809427967,11.9742411482209,13.9379381404332,8.41292724063159,8.861904532592,9.83413823313825,13.6082507158578,10.1562307363785,10.9907618835154,6.54468372300355,4.1889820737321,7.87330263328517,8.85635654064766,13.3373113805601,8.89955021136677,14.3049558705236,10.8827136539067,13.2340604432354,9.88043524081526,7.44444823124382,9.59614790869679,9.32534561891154,16.4393746175201,12.5145383981642,13.1410975205012,"1"
"GSM1023439",7.28194452182132,12.8015873063071,8.78157831329971,9.89821406309538,11.0749100970665,8.30306221731114,4.80960808588404,11.6468996636316,9.51028528073007,6.32205274109902,9.69218441100908,7.76050449556701,7.0993308309402,8.82323580737241,8.9417832072583,7.01432283194378,9.30020548048681,6.53794883647862,13.6395959890811,7.9866940170313,8.94218872639204,7.63892262950863,8.75176818581645,11.0592699425186,8.29731398529434,9.54693922822584,10.6186001692775,8.86773180887523,8.89010087671129,10.5245567514414,4.9780730351976,11.4064576546442,12.4478784788847,10.2139070969385,8.49107693115167,14.2612188993584,14.7091433664354,7.89360978607045,7.25481777442896,5.18375051571049,9.28712440995984,8.74867095358594,7.53793098969452,10.7339029388465,8.15352273357818,11.8010574366942,15.2058119045181,9.44524903748713,10.0961333861892,7.43027856133725,11.1709694273416,12.9731090261393,8.41292724063159,8.70565446804676,9.66159511330801,13.3514779990815,9.55400711972676,10.6929561997782,6.54468372300355,4.1889820737321,7.87330263328517,8.02069796865595,12.1942332436461,8.51205743548112,13.5121137781649,10.4676761546279,11.7008551493877,9.99358890314945,7.44444823124382,8.20383048591803,8.68082627350993,15.4384479166195,12.2293191393724,12.6088631796814,"1"
"GSM1315609",7.12865615829419,12.5701449487245,9.3847278524223,9.69903592139033,10.5286226693096,7.72280087648702,5.3533365306677,11.5234284716934,9.67430259654953,7.43801684321425,9.18261796486946,7.22089027076957,7.3555072430789,8.48892807671243,10.1202667057344,7.32873652093109,9.66652116710246,6.7044069258917,14.8307894447921,8.10766112671128,8.09946454575007,7.8657327820052,8.78296875145009,11.1252251485751,8.96502732909085,9.28287032593144,10.256260960322,8.2034864170523,8.28297780327576,10.2425124073001,4.49866212119584,11.13706141753,12.0991467680883,10.0257136545338,7.99183887751339,14.9864710346118,15.4636707626348,8.0018484945665,7.47719568275313,6.42916328890206,10.0107157998687,9.21917629842768,7.7232397185851,10.6256719730159,8.57094917718461,11.8828666911377,16.0857141910004,9.35497469760081,10.5685822707527,7.29893773002722,11.6737020544825,13.2696220116572,9.92630516911012,9.47576566146265,9.24446978332231,13.7236902299228,9.2982964305573,11.4533437530835,6.80954112051029,4.77926943689351,7.93427967541263,8.42693081816875,12.5431415687705,8.3488020739184,14.4231242198825,10.7017533150353,12.388302911553,9.81273787954268,6.92786043229651,9.12522680777369,9.42397076384241,15.995120016383,12.24501235705,13.1669701017518,"1"
"GSM1315610",6.24358856753933,12.0949032662357,9.91313535140286,8.27735843618389,9.44905273021008,6.41766110409027,4.74239861812224,12.5685927702932,8.0228571445882,7.53434800559851,7.80426701149822,5.98461218100093,7.36555631568071,7.82027195191214,9.34996755002108,5.87940486155972,9.38486422834141,5.61524380376435,14.6030833051753,8.30335837769487,6.68043703530514,6.61400859608729,7.94866109577038,10.5541643945297,6.37171082815054,8.52974455040405,8.98814283546863,7.259501949353,7.01763695065861,9.57633698461225,3.43434240649794,9.84056496784144,12.4141826696035,9.73326963874269,7.47860380143649,13.5395476933847,14.4221547989932,7.01763953318706,7.54541516407879,5.66620049621421,9.12856796519668,8.7408772271592,6.15096925722039,11.1061132810452,7.48906629188947,11.0487916889817,16.498586955144,7.79921424188721,10.9906111777681,5.68681752038321,11.3414884693479,13.1697361100208,9.49228736263656,8.53489003354765,8.21997477299776,12.9161340346162,8.14035423289024,11.6156047124219,6.63965729598465,3.85847411215871,6.04620397410431,7.421820728347,11.7157336635665,7.78637640023556,14.5177717110669,10.7649581806519,12.1282127604383,8.73460127027287,6.31724178313117,8.55057690830319,9.66506633189411,16.0575159608973,10.930180965728,12.7986879472298,"1"
"GSM1315612",8.18655068389048,11.5438714375345,8.72473410794441,9.8075758636607,10.5875704649159,8.27991797643564,5.47284037100641,10.143015832223,9.22553143589084,7.6824592502802,9.08192336028439,7.63860823398451,7.63859745356207,8.6300686715189,9.00288985569433,7.49796057111839,9.32240040426226,6.9171513406951,13.1263256760324,8.07267129509051,9.24808451414913,8.04123077478112,8.39184393656451,11.1142513035614,7.84698846053496,9.31838941696415,10.6025694522534,8.90920674952065,8.28959317777019,9.7146450996054,5.56839663917112,11.4243169182914,11.7333992974756,10.0016847150063,8.19177029687087,13.8865189453281,14.5928387979783,8.00092062862342,7.88405697233797,5.84301825119593,9.91304591364786,8.58957200925505,7.23221809266359,9.94650943515096,8.50944358730412,11.5134612709786,14.88138847663,9.7695592218478,9.2150574076323,7.59083743246867,10.8972566389603,12.5874909358635,9.28270548125462,7.57785596225223,9.53128975578399,12.3932784703971,9.61976773730851,9.30872792164153,6.94586124164034,5.22937340600023,7.23606360298108,8.53052080929738,11.3922750623875,8.159380581941,12.1829247053789,10.4121481142144,11.8568460959425,8.57970353506979,7.48846223591127,8.81274683145651,8.91096453750028,13.69241706512,11.0399672387791,11.6177877356482,"1"
"GSM1315613",7.44318599247638,10.4564810609517,8.15724761424462,10.0172408197952,10.4944027918451,8.3295742111995,5.78707346156321,9.74053367787804,9.18188899381423,6.82878900299556,9.13296711215136,7.26061927151343,7.97805324149193,8.34639356216858,9.72254971987609,6.75639577494334,9.30212771660991,7.01416459787714,13.1903555730713,8.65103720142173,9.34453394139396,8.41168998766356,9.29384276308469,10.8255164579825,6.42290470956128,9.34247711007414,9.81316847288906,8.51824737458143,8.14067685530863,10.2077500322638,5.4345601882239,11.6738501777948,11.3937292548381,10.8591597084776,8.83954975407853,13.5582140319391,14.0069982293581,7.73164859655735,7.78092116236714,5.06312732458929,9.58897766641599,8.04393281181104,5.26863587551359,9.26498563517025,8.99044001517402,11.4646474577417,14.77105006272,9.23921354231724,8.7968716763628,7.54698595593717,11.6274048526023,12.5131271155325,8.09208527772027,7.69092564595685,9.54650341263639,12.8368739442225,9.7046124543061,9.11631044944159,7.73908178916322,5.15830999174483,7.44044419601057,8.60782962471419,10.3929597270481,7.98767733360819,13.7648053802089,10.0492206695083,13.0059761287309,8.46722880581138,7.66320093546243,8.80245457981999,8.48868851571159,15.4092275192442,9.68369459560956,11.2346747031914,"1"
